ID_Unico,Supermercado,CNPJ,Data_Compra,Código,Descrição,Qtde,Un,Vl Unit,Vl Tributo,Vl Total
MAT_20250613_327529,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,327529,PAPEL HIG MAX PUR FD NEU L16P15X30M,1,UN,17.89,4.69,17.89
MAT_20250613_006075,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,6075,F MAMAO PAPAIA KG,0.525,KG,7.79,0.91,4.09
MAT_20250613_001632,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,1632,F BANANA PRATA KG,1.115,KG,5.98,1.48,6.67
MAT_20250613_436198,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,436198,V BROCOLIS MATEUS C KG,0.3,KG,29.99,0.38,9.00
MAT_20250613_008475,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,8475,F PERA ANJOU KG,0.165,KG,15.9,0.58,2.62
MAT_20250613_436267,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,436267,V AGRIAO MATEUS C UN,1,UN,3.99,0.17,3.99
MAT_20250613_080816,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,80816,V TOMATE SALADETE KG,0.455,KG,9.49,0.18,4.32
MAT_20250613_005304,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,5304,V BATATA DOCE KG,0.505,KG,3.89,0.08,1.96
MAT_20250613_001406,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,1406,V BATATINHA LAV KG,0.935,KG,2.99,0.62,2.80
MAT_20250613_005504,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,5504,F LIMAO KG,0.78,KG,3.29,0.57,2.57
MAT_20250613_006052,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,6052,F MARACUJA KG,0.205,KG,12.49,0.57,2.56
MAT_20250613_007973,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,7973,V CHUCHU KG,0.47,KG,3.65,0.07,1.72
MAT_20250613_271548,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,271548,F MACA KG,0.615,KG,16.99,2.32,10.45
MAT_20250613_474970,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,474970,ACAI JUSACAI PAD 1L,1,UN,26,5.77,26.00
MAT_20250613_317259,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,317259,SALSICHA HOT DOG PERDIGAO KG,0.606,KG,18.9,2.54,11.45
MAT_20250613_075465,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,75465,CARNE MOIDA ALCATRA KG,0.27,KG,59.99,3.60,16.20
MAT_20250613_197056,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,197056,PRES PRO SUINO SEARA COZ MAG OV KG,0.534,KG,32.25,2.79,17.22
MAT_20250613_221433,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,221433,QUEIJO MUSS PRO ARGE LA PAULINA KG,0.542,KG,52.9,6.36,28.67
MAT_20250613_037721,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,37721,FLOCAO MILHO SINHA TRAD 500G,4,UN,1.99,1.29,7.96
MAT_20250613_466341,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,466341,FLOCAO ARROZ TIA DORA TRAD 400G,2,UN,1.79,0.79,3.58
MAT_20250613_450475,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,450475,FARINHA TERRA VERDE TAPIOCA 100G,1,UN,4.59,1.02,4.59
MAT_20250613_023958,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,23958,CAPPUC MELLITA CHOC LT 200G,1,UN,15.89,3.53,15.89
MAT_20250613_001958,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,1958,CAFE MELITTA TRAD PCT 250G,2,UN,14.79,1.24,29.58
MAT_20250613_512108,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,512108,CAFE PILAO SOLUV GRANULADO PC 40G,2,UN,6.59,2.93,13.18
MAT_20250613_150599,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,150599,ADOCANTE LIQ LINEA SUCRALOSE 75ML,1,UN,16.19,3.59,16.19
MAT_20250613_525377,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,525377,GRAO DE BICO YOKI 400G,1,UN,7.79,1.73,7.79
MAT_20250613_384788,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,384788,FEIJAO FRADINHO DONA DE TP1 1KG,1,UN,7.29,1.18,7.29
MAT_20250613_053296,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,53296,FEIJAO M GORDA RAJ NATURAL 1KG,1,UN,8.79,1.42,8.79
MAT_20250613_501855,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,501855,BISC NESTLE RECH BONO CHOC 90G,6,UN,2.15,2.86,12.90
MAT_20250613_478856,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,478856,BISC RICHESTER RECH AMORI CHOC 125G,6,UN,2.59,3.45,15.54
MAT_20250613_327503,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,327503,BISCOITO BROA DE SEQUILHO KG,0.336,KG,37.99,2.83,12.76
MAT_20250613_528139,MATEUS SUPERMERCADOS,03.995.515/0039-30,13/06/2025,528139,PAO DE QUEIJO GRANDE MASSA E FORNO 60G,4,UN,3.99,2.59,15.96
